Misclassification rate in 7768 images: 0.09191555097837278
Misclassification rate in top 20: 0.0
Attack rate in 7768 images: 0.49472193614830073
Attack rate in top 20: 0.7
dispersion=119911, classification=True, attack=True
dispersion=112494, classification=True, attack=False
dispersion=112244, classification=True, attack=True
dispersion=111636, classification=True, attack=True
dispersion=109952, classification=True, attack=True
dispersion=109779, classification=True, attack=True
dispersion=109006, classification=True, attack=True
dispersion=108011, classification=True, attack=True
dispersion=107631, classification=True, attack=False
dispersion=107168, classification=True, attack=False
dispersion=106790, classification=True, attack=False
dispersion=104623, classification=True, attack=True
dispersion=103092, classification=True, attack=True
dispersion=103010, classification=True, attack=False
dispersion=102660, classification=True, attack=True
dispersion=102485, classification=True, attack=True
dispersion=102216, classification=True, attack=False
dispersion=100534, classification=True, attack=True
dispersion=99290, classification=True, attack=True
dispersion=98986, classification=True, attack=True
